family,family_size,action,old_finish,old_handle,new_finish,new_handle
TPK_T:nouveau curved bar pull 3 3/4'' cc,4,RETAG,Polished Chrome,nouveau-curved-bar-pull-3-3-4-cc-m533-polished-chrome,Polished Nickel,nouveau-curved-bar-pull-3-3-4-cc-m1951-polished-nickel
TPK_T:nouveau curved bar pull 6 5/16'' cc,4,kept,Polished Nickel,nouveau-curved-bar-pull-6-5-16-cc-m1952-polished-nickel,Polished Nickel,nouveau-curved-bar-pull-6-5-16-cc-m1952-polished-nickel
TPK_T:nouveau curved wire pull 3 3/4'' cc,3,kept,Brushed Satin Nickel,nouveau-curved-wire-pull-3-3-4-cc-m424-brushed-satin-nickel,Brushed Satin Nickel,nouveau-curved-wire-pull-3-3-4-cc-m424-brushed-satin-nickel
TPK_T:nouveau curved wire pull 5 1/16'' cc,2,kept,Polished Chrome,nouveau-curved-wire-pull-5-1-16-cc-m427-polished-chrome,Polished Chrome,nouveau-curved-wire-pull-5-1-16-cc-m427-polished-chrome
TPK_T:nouveau eyebrow cup pull 2 1/2'' cc,3,kept,Brushed Satin Nickel,nouveau-eyebrow-cup-pull-2-1-2-cc-m414-brushed-satin-nickel,Brushed Satin Nickel,nouveau-eyebrow-cup-pull-2-1-2-cc-m414-brushed-satin-nickel
TPK_T:nouveau griggs pull 3'',2,kept,Honey Bronze,top-knobs-m2177-nouveau-griggs-pull-3-honey-bronze,Honey Bronze,top-knobs-m2177-nouveau-griggs-pull-3-honey-bronze
TPK_T:nouveau griggs pull 3'' cc,9,RETAG,Brushed Satin Nickel,nouveau-griggs-pull-3-cc-m1703-brushed-satin-nickel,Oil Rubbed Bronze,nouveau-griggs-pull-3-cc-m1708-oil-rubbed-bronze
TPK_T:nouveau griggs pull 5 1/16'',2,kept,Honey Bronze,top-knobs-m2199-nouveau-griggs-pull-5-1,Honey Bronze,top-knobs-m2199-nouveau-griggs-pull-5-1
TPK_T:nouveau griggs pull 5 1/16'' cc,5,kept,Polished Chrome,nouveau-griggs-pull-5-1-16-cc-m392-polished-chrome,Polished Chrome,nouveau-griggs-pull-5-1-16-cc-m392-polished-chrome
TPK_T:nouveau hollow round knob 1 1/4'',2,kept,Brushed Satin Nickel,nouveau-hollow-round-knob-1-1-4-m410-brushed-satin-nickel,Brushed Satin Nickel,nouveau-hollow-round-knob-1-1-4-m410-brushed-satin-nickel
