family_root,product_handle,sku,title,vendor,finish_name,was_tagged_primary,family_size,family_finishes_json_truncated
ATL:282-BL,atlas-homewares-282-bl-wb-zanzibar-black-leather-pull-11-5,ATL-282-BL-WB,Zanzibar Black Leather Pull 11 5/16'' cc Warm Brass 282-BL-WB,Atlas Homewares,Warm Brass,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-282-bl-brn-zanzibar-black-leather-pull-11-5""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-282-bl-ch-zanzibar-black-leather-pull-11-5""},{""..."
ATL:282-OW,atlas-homewares-282-ow-brn-zanzibar-brown-leather-pull-11-5,ATL-282-OW-BRN,Zanzibar Brown Leather Pull 11 5/16'' cc Brushed Nickel 282-OW-BRN,Atlas Homewares,Brushed Nickel,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-282-ow-brn-zanzibar-brown-leather-pull-11-5""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-282-ow-ch-zanzibar-brown-leather-pull-11-5""},{""..."
ATL:282-OW,atlas-homewares-282-ow-ch-zanzibar-brown-leather-pull-11-5,ATL-282-OW-CH,Zanzibar Brown Leather Pull 11 5/16'' cc Polished Chrome 282-OW-CH,Atlas Homewares,Polished Chrome,yes,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-282-ow-brn-zanzibar-brown-leather-pull-11-5""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-282-ow-ch-zanzibar-brown-leather-pull-11-5""},{""..."
ATL:282-OW,atlas-homewares-282-ow-wb-zanzibar-brown-leather-pull-11-5,ATL-282-OW-WB,Zanzibar Brown Leather Pull 11 5/16'' cc Warm Brass 282-OW-WB,Atlas Homewares,Warm Brass,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-282-ow-brn-zanzibar-brown-leather-pull-11-5""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-282-ow-ch-zanzibar-brown-leather-pull-11-5""},{""..."
ATL:282-WT,atlas-homewares-282-wt-brn-zanzibar-white-leather-pull-11-5,ATL-282-WT-BRN,Zanzibar White Leather Pull 11 5/16'' cc Brushed Nickel 282-WT-BRN,Atlas Homewares,Brushed Nickel,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-282-wt-brn-zanzibar-white-leather-pull-11-5""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-282-wt-ch-zanzibar-white-leather-pull-11-5""},{""..."
ATL:282-WT,atlas-homewares-282-wt-ch-zanzibar-white-leather-pull-11-5,ATL-282-WT-CH,Zanzibar White Leather Pull 11 5/16'' cc Polished Chrome 282-WT-CH,Atlas Homewares,Polished Chrome,yes,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-282-wt-brn-zanzibar-white-leather-pull-11-5""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-282-wt-ch-zanzibar-white-leather-pull-11-5""},{""..."
ATL:282-WT,atlas-homewares-282-wt-wb-zanzibar-white-leather-pull-11-5,ATL-282-WT-WB,Zanzibar White Leather Pull 11 5/16'' cc Warm Brass 282-WT-WB,Atlas Homewares,Warm Brass,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-282-wt-brn-zanzibar-white-leather-pull-11-5""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-282-wt-ch-zanzibar-white-leather-pull-11-5""},{""..."
ATL:283,atlas-homewares-283-brn-trocadero-small-square-knob-1-brushed-nickel,ATL-283-BRN,Trocadero Small Square Knob 1'' Brushed Nickel 283-BRN,Atlas Homewares,Brushed Nickel,yes,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-283-brn-trocadero-small-square-knob-1-brushed-nickel""},{""name"":""Pewter"",""handle"":""atlas-homewares-283-p-trocadero-small-square-knob-1-pewter""},{""..."
ATL:283,atlas-homewares-283-p-trocadero-small-square-knob-1-pewter,ATL-283-P,Trocadero Small Square Knob 1'' Pewter 283-P,Atlas Homewares,Pewter,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-283-brn-trocadero-small-square-knob-1-brushed-nickel""},{""name"":""Pewter"",""handle"":""atlas-homewares-283-p-trocadero-small-square-knob-1-pewter""},{""..."
ATL:283,atlas-homewares-283-pn-trocadero-small-square-knob-1-polished-nickel,ATL-283-PN,Trocadero Small Square Knob 1'' Polished Nickel 283-PN,Atlas Homewares,Polished Nickel,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-283-brn-trocadero-small-square-knob-1-brushed-nickel""},{""name"":""Pewter"",""handle"":""atlas-homewares-283-p-trocadero-small-square-knob-1-pewter""},{""..."
ATL:283,atlas-homewares-283-vb-trocadero-small-square-knob-1-venetian-bronze,ATL-283-VB,Trocadero Small Square Knob 1'' Venetian Bronze 283-VB,Atlas Homewares,Venetian Bronze,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-283-brn-trocadero-small-square-knob-1-brushed-nickel""},{""name"":""Pewter"",""handle"":""atlas-homewares-283-p-trocadero-small-square-knob-1-pewter""},{""..."
